2023-05-18 20:09:24.6835|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:24.6835|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.0381|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" received HEADERS frame for stream ID 5 with length 59 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 9986 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-18 20:09:25.1262|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQNPC12S67J" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
