2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7256|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7417|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7576|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7741|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.7902|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.8047|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-03-21 19:00:35.8047|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPA6OKF4BU8" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
