2023-05-26 17:20:11.2760|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 3 with length 11990 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:11.2760|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:11.9723|37|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2Connection.ProcessRequestsAsync
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 9986 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.1879|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2036|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2191|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2342|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
