2023-05-25 17:20:47.3944|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.3944|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 7 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-25 17:20:47.4010|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQT6ED03H5H" sending DATA frame for stream ID 9 with length 16384 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
