2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5285|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5451|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5987|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5987|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5987|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5987|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-15 18:58:15.5987|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQLCM7OVR5H" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
